iter	Logloss
0	0.6512361418
1	0.5955691493
2	0.560445970933	0.523832788944	0.488016581
5	0.4607323444
6	0.4412431672
7	0.4200246917
8	0.4008918923
9	0.379102199
10	0.3620182723
11	0.342763853
12	0.3262966753
13	0.3116750062
14	0.2956227067
15	0.2795160536
16	0.2650732962
17	0.2546759203
18	0.2442766014
19	0.2339848997
20	0.2258322725
21	0.2175331703
22	0.2087128761
23	0.2011193511
24	0.1946080276
25	0.1887556282
26	0.1828703774
27	0.180326542
28	0.1748528284
29	0.1719047653
30	0.1679394689
31	0.161734198
32	0.1567759427
33	0.1528214151
34	0.1491027118
35	0.146210483
36	0.1425607167
37	0.1392774695
38	0.1370178173
39	0.1351214382
40	0.1319464005
41	0.130208047
42	0.1286287144
43	0.1238089492
44	0.1200918096
45	0.1176204535
46	0.1155925502
47	0.1140782333
48	0.111573386
49	0.1087943543
50	0.1058801614
51	0.1042350548
52	0.1019036223
53	0.09985312699
54	0.09759608705
55	0.09584794213
56	0.09467852965
57	0.09295920229
58	0.09056135021
59	0.0893451366660	0.08734564216161	0.08613864562	62	0.0852322163	063	0.083704064	0.64	0.08219965	0.065	0.08046566	0.066	0.07896567	0.67	0.07724768	0.09447316385
69	0.09310503144
70	0.070	0.07344171	0.09037813104
72	0.072	0.07079673	0.08761667261
74	0.08653800538
75	0.08565256848
76	0.08468509187
77	0.0839041253
78	0.08272209887
79	0.08136153049
80	0.08030800341
81	0.0793476749
82	0.07851731339
83	0.07796311911
84	0.07691161227
85	0.07668009835
86	0.07565903183
87	0.07530481191
88	0.07423981698
89	0.07345312836
90	0.07263263633
91	0.07216147998
92	0.07078298491
93	0.07038420081
94	0.06958174835
95	0.06876617621
96	0.06818728742
97	0.06720252586
98	0.06679079437
99	0.06597705232
100	0.06534882801
101	0.06513945952
102	0.0641290884
103	0.06309055272
104	0.06269033067
105	0.06190991669
106	0.060979363
107	0.05972464942
108	0.05879724493
109	0.05826787587
110	0.05735036463
111	0.05684794205
112	0.05634381415
113	0.05582666162
114	0.05500431571
115	0.05436848579
116	0.05350030413
117	0.05262956152
118	0.05147729209
119	0.0511909048
120	0.05063830889
121	0.05002656144
122	0.04976272958
123	0.04961245023
124	0.04896907112
125	0.04854980234
126	0.04827184363
127	0.04768141866
128	0.04698529042
129	0.04659753743
130	0.04602444794
131	0.0131	0.03027132	0.0132	0.02998133	0.0133	0.02949134	0.0134	0.02903135	0.0135	0.0286136	0.04136	0.0283137	0.0137	0.02811138	0.0138	0.02785139	0.0139	0.02749140	0.140	0.027221141	0.04161365707
142	0.142	0.026255143	0.143	0.02597144	0.144	0.025698145	0.145	0.02545745701
146	0.02524316453
147	0.02480633414
148	0.02450268798
149	0.02423736354
150	0.02397542287
151	0.02362003689
152	0.02349322777
153	0.0231210814
154	0.02282301956
155	0.02255974464
156	0.02225876698
157	0.02198425676
158	0.02172254414
159	0.02159821695
160	0.02138369642
161	0.02126407837
162	0.02111945153
163	0.02087240537
164	0.02061746917
165	0.02047825636
166	0.02023321084
167	0.01989156577
168	0.01968557352
169	0.0195112717
170	0.01928969635
171	0.01900313043
172	0.01865041889
173	0.01852149955
174	0.0182049225
175	0.01801704414
176	0.017800095
177	0.01753559392
178	0.01730391021
179	0.01716634412
180	0.01703372559
181	0.01682106354
182	0.01660898791
183	0.01649841496
184	0.01622937208
185	0.01606673204
186	0.01585583666
187	0.01563717268
188	0.01550989561
189	0.01535657612
190	0.01516282911
191	0.01502860088
192	0.01486486353
193	0.01464678597
194	0.01446469186
195	0.01427839951
196	0.01412702438
197	0.01395097959
198	0.01377797353
199	0.01360340516
200	0.01347196687
201	0.01333010628
202	0.01322090312
203	0.01305801875
204	0.01294506901
205	0.01281578834
206	0.01268833949
207	0.01253260916
208	0.01242070121
209	0.01229784822
210	0.01218250467
211	0.01211277461
212	0.01196338533
213	0.01189289188
214	0.01179047256
215	0.01175157329
216	0.01169305039
217	0.01159225927
218	0.01152483566
219	0.01142381278
220	0.01133278423
221	0.01124043846
222	0.01112697265
223	0.01101396442
224	0.01088851103
225	0.01076466734
226	0.01068879616
227	0.01057354813
228	0.01045548053
229	0.01033578844
230	0.01024886558
231	0.01012624805
232	0.01002136604
233	0.009925342555
234	0.009830320869
235	0.009774182897
236	0.00972207509
237	0.009640410032
238	0.009547822141
239	0.009441076476
240	0.009336227793
241	0.009249125753
242	0.009148972882
243	0.00908657531
244	0.009018970289
245	0.008951014305
246	0.008896161721
247	0.008849847044
248	0.008778541351
249	0.008704669325
250	0.008621643355
251	0.008560197237
252	0.008497557544
